245 Pixley St
7 Casa Way #2
300 Berry St
601 Van Ness Ave #431
1552 Innes Ave
291 Ramsell St
1483 Sutter St #401
550 Davis St
149 19th Ave
301 Main St #14B
843 S Van Ness Ave
430 45th Ave
225 Ewing Ter
1386 Florida St
1325 Church St
55 Ora Way #207B
1665 19th Ave
83 Mcallister St
95 Ora Way #F-201
301 A Church St
710 Edinburgh St
1734 Bay St #104
412 Green St #A
370 Monterey Blvd #312
117 Bache St
140 Albatross Ct
631 Ofarrell St #411
128 Bache St
1475 Fillmore St.
899 Pine St.
515 John Muir Dr.
849 W Orange Ave
1045 Mission St.
388 Beale St.
One Saint Francis Pl.
1600 15th St
2235 Third St.
355 Berry St.
1475 Fillmore Street 
515 John Muir Drive 
430 Davis Court 
1475 Fillmore St. 
899 Pine St. 
515 John Muir Dr. 
255 King St. 
1045 Mission St. 
1600 15th St 
849 W Orange Ave 
355 Berry St. 
301 Executive Park Blvd. 
388 Beale St. 
2000 Post St. 
One Saint Francis Pl. 
2235 Third St. 
3711 19th Avenue 
430 Davis Court 
1 Polk St. 
842 Antoinette Lane 
333 Park Plaza Dr 
1826 Poggi St. 
1350 Marina Village Pkwy 
3650 Mandela Pkwy 
279 Imperial #1 
100 Esplanade Avenue 
1001 National Avenue 
2 Pacific Bay Circle 
1260 South Loop Rd 
2000 Crystal Springs Rd. 
1775 Francisco Blvd East 
1000 Lane Parke Court 
1080 Carolan Avenue 
3133 Frontera Way 
155 Anderson Dr. 
3170 Garrity Way 
1600 E. Third Avenue 
156 Estabrook St. 
3400 Richmond Pkwy. 
2795 San Leandro Blvd 
13495 Bancroft Ave. 
3600 Sierra Ridge 
55 West 5th Avenue 
14744 Washington Ave. 
4170 Springlake Dr. 
1200 E Hillsdale Blvd 
1 Plaza View Lane 
1830 Gateway Dr. 
530 Sunnyview Dr., #206 
16183 Ashland Ave. 
16201 Hesperian Blvd. 
3055 LA Selva 
16929 Meekland Ave. 
1001 Cresta Way 
203 Laurie Meadows Dr. 
244 Rock Harbor Lane 
658 Cherry Way 
300 Timberhead Lane 
3366 Mt. Diablo Blvd. 
21701 Foothill Blvd 
120 Sem Lane 
19991 Santa Maria Avenue 
25800 Industrial Blvd 
3263 Mt. Diablo Court 
22525 Third St. 
1182 E. St. 
50 Austin Avenue 
605 Orchard Avenue 
27475 Hesperian Blvd. 
22160 Center St. 
22302 Center St. 
141 Flora Ave. 
142 Fig Tree Lane 
26379 Whitman St. 
3 Circle Star Way 
837 Hancock St. 
820 Hancock St. 
28500 Mission Blvd. 
1212 Whipple Avenue 
333 Main St. 
3128 Oak Rd. 
3220 Buskirk Ave 
31950 Dyer St 
2635 Contra Costa Blvd 
29843 Clearbrook Circle 
1107 Porter St. 
1265 Monument Blvd 
637 Stonebridge Way 
1731 Pine St. 
2100 Camino Ramon 
1531 Detroit Ave 
1741 Detroit Avenue 
18000 San Ramon Valley Blvd 
1688 Clayton Rd. 
1730 Adelaide St. 
1110 Harness Dr 
1776 Laguna Rd. 
1500 Ellis St. 
1070 San Miguel Rd. 
1825 Galindo St 
1501 Decoto Rd. 
36000 Fremont Blvd. 
2000 Ascot Pkwy. 
2000 Shoreline Loop 
9200 Alcosta Blvd 
5 Newell CT 
7550 St. Patrick Way 
38000 Camden St. 
5255 Clayton Rd. 
6233 Dougherty Rd 
5375 Farwell Place 
4555 Chabot Dr. 
3400 Stevenson Blvd. 
5095 Haven Pl. 
4500 Dublin Blvd 
1324 S. Winchester Blvd. 
5505 Springhouse Dr. 
40777 High St. 
5196 Golden Rd 
4800 Tassajara Rd. 
41240 Roberts Avenue 
2201 Oak Hills Circle 
777 West Middlefield Rd 
1000 Pheasant Dr 
241 West Buchanan 
600 North Whisman 
455 W Evelyn Ave 
46080 Fremont Blvd 
11 Atlantic Circle 
231 Woodcreek Common 
46312 Mission Blvd 
190 East El Camino Real 
2380 Nissen Dr 
300 Peppertree Way 
1255 Orleans Dr. 
180 Pasito Terrace 
2131 Gold St. 
902 W Remington Dr 
440 Dixon Landing Rd. 
4343 Renaissance Dr 
2201  San Jose Dr. 
1 Vista Montana 
1038 Catalina Dr. 
655 S Fair Oaks Ave 
2301 Sycamore Dr. 
150 E Remington Dr 
1651 Belleville Way 
1000 Claudia Court 
1650 Hope Dr. 
330 Cypress Dr. 
730 Agnew Rd. 
20875 Valley Green Dr 
310 Crescent Village Circle 
1000 Hillview Court 
3500 Granada Avenue 
1102 S. Abel St. 
3480 Granada Ave 
2400 Fair Dr. 
19608 Pruneridge Ave 
555 South Park Victoria Dr 
2100 West Texas St 
1019 Oliver Rd 
3375 Homestead Rd. 
3301 Homestead 
3200 Soscol Ave 
150 Cortona Way 
55 E. Brokaw Rd. 
2400 Shady Willow Lane 
444 Saratoga Ave 
1560 North First St. 
355 Kiely Blvd 
1400 Humphrey Dr. 
3001 North Texas St. 
3246 Cortese Circle 
1201 Parkmoor Ave 
500 Race St 
201 South 4th St. 
2032 Southwest Expressway 
2130 Southwest Expressway 
2388 Madden Ave 
4951 Cherry Avenue 
212 Brookdale Dr. 
